Model Name,Model Data,No-extraction Turns,Incomplete Information,False Information,Non-existing Slots,Missing Information,Good Count,Comment
ExuberantAtollon,sgdx_6_train_filtered,15,4,11,1,0,3,Most of what this model generates are nonsense
FearlessBespin,mwoz24_train,30,undefined,undefined,undefined,?,0,No extractions at all
FearlessBodhi,sgdx_train_filtered,8,5,6,2,0,18,"Generally reasonable, but still are slightly limited by slot names in the dataset"
InfiniteAhsoka,sgd_train,11,5,10,4,0,13,Too many question marks in the values
WiseCerea,sgdx_100_train,3,4,5,6,2,18,"Generally reasonable, but is bad at numbers and misses much information"
WisePorg,sgd_train_filtered,9,5,6,4,1,13,
DaringJyn,sgdx_1k_train,7,7,4,4,0,13,"Does not generate much information, and the values are often vague"
